Date,Place,Street,Railroad,Description
09/04/16 0:01,"N/A, INDIANA",CR - 61/SALISBURY RO,Norfolk Southern Corporation,NS TRAIN M77L008 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
08/04/16 22:11,"CLINTON, OHIO",CHIPPEWA AVENUE,CSX Transportation,Q29607 STRUCK A 2004 HONDA CRV AT THE CROSSING. MOTORIST APPEARED TO BE INTOXICATED. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
08/04/16 13:40,"SARALAND, ALABAMA",CITY/FERRY AVE,Norfolk Southern Corporation,NS TRAIN A89A408 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
08/04/16 10:51,"MURFREESBORO, TENNESSEE",MIDDLE TENNESSEE,CSX Transportation,"CREW REPORTS HITTING A CAR AT MIDDLE TENNESSEE BLVD. PROTECTION AT CROSSING ALSO INCLUDE ADVANCE WARNING, STOP LINE AND RR XING SYMBOL."
08/04/16 3:05,"SAN ANTONIO, TEXAS",PRIVATE,Union Pacific Railroad Company,
08/04/16 1:47,"SADDLE BROOK, NEW JERSEY",CO 67/MIDLAND AVE,Norfolk Southern Corporation,NS TRAIN H56 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
07/04/16 22:13,"PEMBROKE, NORTH CAROLINA",OXENDINE ROAD,CSX Transportation,Q43807 STRUCK A VEHICLE THAT WENT AROUND THE GATES AT CROSSING. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
07/04/16 17:49,"N/A, INDIANA",CR-75/TULIP RD,Norfolk Southern Corporation,NS TRAIN 25N STRUCK A HWY-USER (PEDESTRIAN) AT A HWY-GRADE CROSSING.
07/04/16 12:10,"N/A, PENNSYLVANIA",PRIVATE,Norfolk Southern Corporation,NS TRAIN YHHU15 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
07/04/16 8:40,"WOODBURN, KENTUCKY",MING RD,CSX Transportation,X57306 STRUCK HIGHWAY USER AT WOODBURN ON S.R. 240 CROSSING. MOTORIST WAS TRANSPORTED FOR MEDICAL TREATMENT. PROTECTION AT CROSSING ALSO INCLUDE: ADVANCE WARNING
07/04/16 6:15,WASHINGTON,HOLGATE ST.,BNSF Railway Company,
07/04/16 1:30,"TOLEDO, OHIO",SR-51/WOODVILLE ST.,Norfolk Southern Corporation,NS TRAIN BO20 WAS STRUCK BY A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE UNKNOWN.
06/04/16 15:35,"MARION, INDIANA",CS-33RD/E 33RD STREE,Norfolk Southern Corporation,NS TRAIN 369L906 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
06/04/16 10:30,KANSAS,SOUTH CLARE ROAD,BNSF Railway Company,DRIVER AGE UNKNOWN 41: UNOCCUPIED VEHICLE
05/04/16 19:58,"STILWELL, OKLAHOMA",S 3RD STREET,Kansas City Southern Railway Company,THE TRAIN STRUCK THE REAR END OF A CAR THAT WAS STUCK IN A DITCH AT THE TRACKS. THE DRIVER HAD ALREADY EXITED.
05/04/16 12:55,"MCCOLL, SOUTH CAROLINA",N.MAIN ST.,CSX Transportation,L49105 WAS SHOVING AND HIT A VEHICLE AT MAIN STREET. ABERDEEN & ROCKFISH RR DAMAGES ARE UNKNOWN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
05/04/16 8:59,"MCKENZIE, TENNESSEE",THOMPSON ROAD,CSX Transportation,Q12505 STRUCK UTILITY TRAILER PULLED BY PICK UP TRUCK AT 00N 111.98 THOMPSON RD. DRIVERS NAME AND AGE ARE UNKNOWN.
05/04/16 8:00,"N/A, PENNSYLVANIA",SR 837/STONESBORO RD,Norfolk Southern Corporation,NS TRAIN C35C205 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE UNKNOWN.
05/04/16 3:20,ARKANSAS,COUNTY ROAD 819,Union Pacific Railroad Company,SEMI TRUCK WAS HIGH CENTERED ON THE CROSSING. #32 WARNING DEVICES - TRUCKS USE NEXT XING.
04/04/16 17:30,"CORPUS CHRISTI, TEXAS",VALERO INDUSTRY XING,Corpus Christi Terminal Railroad Inc.,"CCPN INVOLVED IN XING INCIDENT W/HYDRO-CHEM VACUUM TRUCK AT PRIVATE RAILROAD XING ON VALERO BILL GREEHEY REFINERY PROPERTY LOCATED ON THE SOUTH SIDE OF THE PORT. CCPN WAS RUNNING ON UP RIGHT-OF-WAY ON VALERO PROPERTY. DRIVER DIDN'T SEE OR HEAR TRAIN, ENGINEER RUNNING LONG HOOD END FORWARD WHEN HE FELT A THUD AND PUT HIS TRAIN INTO EMERGENCY. LOCOMOTIVE STUCK THE TRUCK ON THE FIREMANLOCOMOTIVE; ENGINEER STATED THE LOCOMOTIVE BELL WAS RINGING AND SOUNDING THE HORN."
04/04/16 9:40,"N/A, ALABAMA",PRIVATE,Norfolk Southern Corporation,NS TRAIN A41A504 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
04/04/16 7:35,"CHARLOTTE, NORTH CAROLINA",HOVIS ROAD,CSX Transportation,"WHEN THE K97403 WAS APPROACHING THE CROSSING, A TRACTOR TRAILER WAS STOPPED AT THE CROSSING. AS THETRAIN ENTERED THE CROSSING, A TRACTOR TRAILER DELIBERATELY DISREGARDED THE WARNINGS FROM THE LOCOMOTIVE AS WELL AS THE CROSSING LIGHTS AND GATES AND TRIED TO BEAT THE TRAIN OVER THE CROSSING. THE K97403 STRUCK THE REAR PORTION OF THE TRAILER BUT THE DRIVER OF THE TRUCK KEPT GOING AND DID NOT STOP FOR THE ACCIDENT. MOTORIST AGE AND GENDER UNKNOWN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PA"
03/04/16 23:31,"WOODS CROSS, UTAH",1500 SOUTH,Union Pacific Railroad Company,PEDESTRIAN WENT AROUND THE ACTIVATED GATE.
03/04/16 15:01,"SOMONAUK, ILLINOIS",N GREEN ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 5 OPERATING WITH LOCOMOTIVES E/95-E/152 AND 10 CARS STRUCK AN OCCUPIED VEHICLE AT MP 59.47, NORTH GREEN ST CROSSING. AMTRAKS EQUIPMENT DAMAGE IS $18,512.00."
03/04/16 12:53,"FREMONT, NORTH CAROLINA",BRANCH STREET,CSX Transportation,G96403 STRUCK A PICKUP TRUCK THAT HAD STOPPED WITH THE REAR OF THE TRUCK FOULING THE MAIN LINE. ENGINEER APPLIED THE EMERGENCY BRAKE BUT STRUCK THE VEHICLE PRIOR TO THE TRAIN STOPPING. MOTORISTS AGE UNKNOWN.
03/04/16 4:15,"VALDOSTA, GEORGIA",S LEE STREET,CSX Transportation,A72402 STRUCK AN UNOCCUPIED VEHICLE AT THE CROSSING. AGE AND GENDER OF DRIVER UNKNOWN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES/RR XING).
02/04/16 23:11,"SIOUX CITY, IOWA",DACE,Union Pacific Railroad Company,PICKUP TRUCK DID NOT STOP AND RAN INTO THE SIDE OF THE RAIL CAR.
02/04/16 16:45,"SPARKS, NEVADA",GALLETTI WAY,Union Pacific Railroad Company,PEDESTRIAN WAS PUSHING A BICYCLE AND WENT AROUND THE ACTIVATED GATES. HIGHWAY USER'S ACTIONS: WENTAROUND THE GATE - MOVING
02/04/16 16:09,ILLINOIS,LAKESHORE DR/TR663,Wisconsin Central Ltd. (also Railway),DRIVER STOPPED AT THE LAKESHORE DR/TR663 ROAD CROSSING FOR THE ACTIVATED WARNING DEVICES AND TRAIN.HE STATED THAT HIS FOOT SLIPPED OFF THE BRAKE AND HE RAN INTO THE TRAIN AS IT WAS PASSING. NO INJURIES WERE REPORTED.
02/04/16 4:37,"RIVERDALE, ILLINOIS",RIDGELAND AVE,CSX Transportation,W05226 WAS STRUCK ON ITS SIDE BY A MAROON 2002 TOYOTA CAMRY WHOSE DRIVER WAS INTOXICATED. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS). IHB ESTIMATED DAMAGES: UNKNOWN
02/04/16 2:35,"CONVERSE, TEXAS",FM3502,Union Pacific Railroad Company,VEHICLE WENT THROUGH THE ACTIVATED GATES AND DROVE INTO THE SIDE OF THE TRAIN.
01/04/16 21:10,"PLOVER, WISCONSIN",POST RD,Wisconsin Central Ltd. (also Railway),"DRIVER OF VEHICLE STOPPED AT THE POST ROAD CROSSING AND THEN PEOCEEDED, STRIKING THE LEAD RAIL CAR BEING SHOVED. ALL SIGNALS WERE ACTIVATED AND THE DRIVER WAS CITED BY THE LOCAL AUTHORITIES FOR 3 VIOLATIONS. NO INJURIES WERE REPORTED."
01/04/16 15:57,"ATLANTA, GEORGIA",LEE ST,CSX Transportation,Q04131 STRUCK A CAR STOPPED ON CROSSING NO INJURIES OR DAMAGE TO LOCOMOTIVE. NS DAMAGES UNKNOWN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING.
01/04/16 15:33,NEBRASKA,S RIVERVIEW AVE,BNSF Railway Company,
01/04/16 14:40,"DURHAM, NORTH CAROLINA",N LA SALLE ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 74 OPERATING WITH LOCOMOTIVE NC 1893 AND 4 CARS STRUCK AN OCCUPIED VEHICLE AT MP 52.04, LASALLE ST CROSSING. THE AGE OF THE DRIVER WAS NOT AVAILABLE."
01/04/16 12:15,"BURNS HARBOR, INDIANA",PRIVATE,Norfolk Southern Corporation,NS TRAIN 28AB331 STRUCK HWY-USER AT A HWY-GRADE CROSSING.
01/04/16 12:07,"HIGGINSVILLE, MISSOURI",RD200 SALEM CEMETERY,Kansas City Southern Railway Company,"A MAROON COLORED PASSENGER VAN TRIED TO BEAT THE TRAIN, WAS STRUCK SLIGHTLY, AND FLED THE SCENE. THE CREW BELIEVES THE VAN WAS OCCUPIED BY TWO WHITE MALES."
01/04/16 10:30,"LA CYGNE, KANSAS",E MARKET ST,BNSF Railway Company,41: HYRAIL NO GATES
01/04/16 10:26,"SUISUN CITY, CALIFORNIA",SUNSET AVE,Union Pacific Railroad Company,PEDESTRIAN IGNORED ACTIVATED GATES AND WALKED INTO PATH OF TRAIN.
31/03/16 19:54,"EUGENE, OREGON",JEFFERSON STREET,Union Pacific Railroad Company,PEDESTRIAN WENT AROUND THE ACTIVATED GATES AND STEPPED IN FRONT OF THE TRAIN.
31/03/16 19:25,"N/A, GEORGIA",CR 3/HENRY OWENS RD,Norfolk Southern Corporation,NS TRAIN 282G130 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
31/03/16 19:22,"MONTGOMERY, ALABAMA",WARES FERRY ROAD,CSX Transportation,A74731 TRAVELING NORTHBOUND STRUCK A VEHICLE ON CROSSING. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
31/03/16 15:51,"N/A, PENNSYLVANIA",SR-1003/HORSESHOE RD,Norfolk Southern Corporation,NS TRAIN H28/31 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE VERIFIED.
30/03/16 15:46,CALIFORNIA,FOLETTA RD,Amtrak (National Railroad Passenger Corporation),"TRAIN 11 STRUCK THE BUMPER OF AN OCCUPIED VEHICLE AT MP 130.25. THE OCCUPANTS IN THE VEHICLE GOT OUT OF VEHICLE, INSPECTED THE VEHICLE THEN FLED THE SCENE. THE AGE AND GENDER OF THE DRIVER WAS NOT AVAILABLE."
30/03/16 15:45,"MENASHA, WISCONSIN",MILWAUKEE ST,Wisconsin Central Ltd. (also Railway),SEMI-TRUCK BACKED ONTO THE MILWAUKEE ST. CROSSING AND WAS HIT BY THE ON COMING TRAIN. NO INJURIES WERE REPORTED. ALL SIGNALS WERE ACTIVATED.
30/03/16 12:40,"LOS BANOS, CALIFORNIA",PRIVATE,California Northern Railroad Company,A TRAIN CREW WAS SHOVING TO SPOT AN INDUSTRY. A DRIVER OF A TRUCK TRAILER FAILED TO STOP AT THE CROSSING. THE ENGINEER PLACED THE TRAIN IN EMERGENCY AND STRUCK THE TRUCK'S TRAILER. NO INJURIES TO THEDRIVER OR TRAIN CREW.
30/03/16 8:35,"HUNTINGDON, TENNESSEE",NORTHWOOD DRIVE,"K.W.T. Railway, Incorporated","TRAIN DEPARTED BRUCETON AND STRUCK VEHICLE CROSSING THE TRACKS. DUE TO DEATH, NO LETTER AND/OR FORM150 SENT."
30/03/16 6:32,"HAMILTON, OHIO",BUTLER STREET,CSX Transportation,TRESPASSER WAITED FOR SOUTH BOUND TRAIN ON NUMBER 2 TRACK TO CLEAR. ONCE TRAIN ON NUMBER 2 CLEARED Q13429 NORTH ON NUMBER 2 STRUCK AND FATALLY INJURED TRESPASSER WHEN SHE WALKED OUT IN FRONT OF TRAIN.
30/03/16 6:31,"N/A, OHIO",TR 55/VAN ATTA RD,Norfolk Southern Corporation,NS TRAIN 10E9328 WAS STRUCK BY A HWY-USER AT A HWY-GRADE CROSSING.
30/03/16 5:00,"GASTONIA, NORTH CAROLINA",HANCOCK ST,Norfolk Southern Corporation,NS TRAIN 203P329 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
30/03/16 3:35,"MAYFIELD, KANSAS",S MAYFIELD ROAD,BNSF Railway Company,DRIVER AGE UNKNOWN 41: UNOCCUPIED VEHICLE
29/03/16 23:10,"EXETER, CALIFORNIA",F STREET,San Joaquin Valley Railroad Company,A TRAIN CREW STOPPED THEIR TRAIN ON A CROSSING. A FEMALE DRIVER RAN INTO THE STANDING TRAIN AND SUSTAINED A CONTUSION TO HER KNEE. THE RAIL CAR SHE RAN INTO SUSTAINED MINIMAL DAMAGE.
29/03/16 19:48,ARKANSAS,KUHN ROAD,BNSF Railway Company,
29/03/16 17:45,"DARBY, PENNSYLVANIA",FIFTH STREET,CSX Transportation,Q37329 REPORTS STRIKING A TRESPASSER AT CROSSING. PROTECTION ALSO AT CROSSING: ADVANCE WARNING.
29/03/16 14:42,"JACKSON, TENNESSEE",BELMONT AVE,CSX Transportation,"M79129 WAS SHOVING AROUND THE WTRR WYE AND APPROACHED THE CROSSING WHEN A MOTORIST RAN THRU THE CROSSING AND CAUSED THE CONDUCTOR TO DISMOUNT THE EQUIPMENT. DRIVER NAME, AGE AND GENDER ARE UNKNOWN."
29/03/16 14:05,"BESSEMER, ALABAMA",32ND STREET,Amtrak (National Railroad Passenger Corporation),"TRAIN 20 OPERATING WITH LOCOMOTIVES E/190-E/512 AND 9 CARS WAS STRUCK BETWEEN THE TWO LOCOMOTIVES BY AN OCCUPIED VEHICLE AT MP 153.27, 32ND STREET CROSSING. THE VEHICLE STRIKE CAUSED THE LEAD UNIT E/190 TO BECOME UNCOUPLED AND ACQUIRE DAMAGE."
29/03/16 12:50,"SAN MARCOS, TEXAS",CENTERPOINT,Union Pacific Railroad Company,"VEHICLE WENT AROUND 3 VEHICLES THAT WERE STOPPED AT THE CROSSING, WENT ONTO THE CROSSING AND WAS STRUCK BY THE TRAIN."
29/03/16 12:20,"FOSTORIA, OHIO",FREMONT STREET,CSX Transportation,H79529 STRUCK A PEDESTRIAN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
29/03/16 11:53,"ENOREE, SOUTH CAROLINA",PRIVATE INDUSTRY,CSX Transportation,F79129 WHILE SWITCHING IN THE CELANESE INDUSTRY STRUCK A VEHICLE THAT DISREGARDED SIGNS AND FLASHING LIGHTS AND PROCEEDED OVER CROSSING WITHOUT LOOKING OR STOPPING AND LOCOMOTIVE STRUCK THE RIGHT FENDER OF THE 2013 FORD VAN. STOP SIGNS AND FLASHING RED LIGHTS INSTALLED BY THE INDUSTRY
29/03/16 11:20,"STAR, MISSISSIPPI",ANDERW JACKSON CI,Kansas City Southern Railway Company,THE TRAIN STRUCK A JEEP CHEROKEE THAT WAS MOVING OVER A CROSSING NEAR STAR MISSISSIPPI IN THE BEAUMONT SUBDIVISION. THE JEEP CHEROKEE THEN STRUCK A TRUCK THAT WAS SITTING ON THE OPPOSITE SIDE OF THE CROSSING. NO INJURIES WERE REPORTED.
29/03/16 9:45,IOWA,230TH AVE,"Chicago, Central & Pacific Railroad Company",MOTORIST STOPPED VEHICLE FOULING THE TRACKS AT THE 230TH AVE. CROSSING AND WAS HIT BY THE ONCOMING TRAIN. NO INJURIES WERE REPORTED. CROSSING IS MARKED CROSSBUCKS AND YIELD SIGNS. DRIVER WAS CITEDBY THE LOCAL AUTHORITIES.
29/03/16 9:22,"PORT BARRE, LOUISIANA",BARRE CUT,Union Pacific Railroad Company,
29/03/16 8:45,"DECATUR, ILLINOIS",GREEN HILL ROAD,CSX Transportation,Q59328 WAS HEADED WESTBOUND TOWARD DECATUR YARD. AT GREENHILL RD A CAR WAS PARKED ON THE CROSSING BEHIND A SCHOOL BUS. TRAIN WAS TRAVELING APPROX. 27-28 MPH DOWNHILL. AS Q59328 APPROACHED THE CROSSING THEY WERE SOUNDING THEIR HORN AND FLASHING THEIR LIGHTS. THE DRIVER MADE NO EFFORT TO MOVE THE CARAND WAS APPARENTLY ON HER CELL PHONE PER THE POLICE. THE CREW MANAGED TO STOP THE TRAIN APPROX. 5-6CAR LENGTHS ACROSS THE CROSSING. THE Q59328 STRUCK THE CAR IN THE DRIVER SIDE REAR DOOR KNOCKING THE
29/03/16 8:36,"HILLVIEW, KENTUCKY",BLUE LICK ROAD,CSX Transportation,R50228 STRUCK A VEHICLE AT BLUE LICK ROAD FATALLY INJURING THE DRIVER.
28/03/16 16:00,"TAMPA, FLORIDA",12TH ST,CSX Transportation,O70028 STRUCK A VEHICLE AT THE CROSSING.
28/03/16 13:31,"WINTON, CALIFORNIA",WINTON WAY,Amtrak (National Railroad Passenger Corporation),"TRAIN 713 OPERATING WITH LOCOMOTIVE E/136 AND 5 CARS STRUCK A PEDESTRIAN AT MP 1065.23, WINTON WAY CROSSING. THE PEDESTRIAN WAS PUSHING A SHOPPING CART ACROSS THE TRACK. THE CREW HOURS ON DUTY WERENOT AVAILABLE. AMTRAKS EQUIPMENT DAMAGE IS $25,257.00."
28/03/16 9:05,"CALHOUN, LOUISIANA",PRIVATE RD,Kansas City Southern Railway Company,A DUMP TRUCK FAILED TO STOP AT THE CROSSING AND WAS STRUCK BY THE TRAIN AT MP 81.8 IN THE VICKSBURGSUBDIVISION.
28/03/16 8:43,CALIFORNIA,LOMITA BLVD.,BNSF Railway Company,
28/03/16 8:37,"HIALEAH, FLORIDA",NW NORTH RIVER DR,South Florida Regional Transit Authority,OPERATOR OF A HIGHWAY VEHICLE DROVE UNDER THE LOWERING CROSSING GATE AND STOPPED ON THE TRACKS DUE TO TRAFFIC. BOTH VEHICLE OCCUPANTS EXITED UPON SEEING THE TRAIN. THE VEHICLE WAS STRUCK AND PUSHED OFF THE TRACKS AT LOW SPEED. NO INJURIES WERE SUSTAINED.
28/03/16 8:25,CALIFORNIA,BROADWAY,Caltrain Commuter Railroad Company,"TRAIN 221 WAS OPERATING NORTHBOUND FROM THE BURLINGAME STATION WHEN THE ENGINEER SAW A FLAT BED TRUCK FOULING THE PATH OF THE TRAIN ON THE BROADWAY CROSSING. HE PLACED THE TRAIN IN EMERGENCY AND STRUCK THE VEHICLE. THE ENGINEER MADE AN EMERGENCY BROADCAST, AND TRAIN TRAFFIC IN THE AREA WAS STOPPED. THE VEHICLE WAS UNOCCUPIED AND DAMAGED. THE CAR 4020 HAD MINOR DAMAGE TO THE FRONT."
27/03/16 10:12,SOUTH CAROLINA,RED BANK ROAD,Amtrak (National Railroad Passenger Corporation),"TRAIN 90 OPERATING WITH LOCOMOTIVE E/177 AND 10 CARS STRUCK A PEDESTRIAN THAT DISREGARDED CROSSING WARNING DEVICES AND STEPPED IN FRONT OF THE TRAIN AT MP 378.77, RED BANK RD CROSSING."
26/03/16 22:35,"MESQUITE, TEXAS",PRIVATE MESQUITE YAR,Union Pacific Railroad Company,WHILE THE TRAIN WAS SHOVING OVER THE CROSSING A SEMI TRUCK IGNORED THE STOP SIGN AND PROCEEDED THROUGH THE CROSSING.
26/03/16 15:39,NORTH CAROLINA,PRIVATE ROAD,Amtrak (National Railroad Passenger Corporation),TRAIN 89 STRUCK A PEDESTRIAN WALKING ACROSS THE TRACKS AT A PRIVATE CROSSING. THERE WAS NO EQUIPMENT DAMAGE.
26/03/16 11:05,"TOLEDO, OHIO",US 24/DETROIT AVE,Norfolk Southern Corporation,NS TRAIN BT11 WAS STRUCK BY A HWY-USER A HWY-GRADE CROSSING. DRIVER'S AGE VERIFIED.
26/03/16 5:40,"LIMA, OHIO",W FOURTH ST,CSX Transportation,Q04224 STRUCK A VEHICLE AT THE CROSSING. PROTECTION AT CROSSING ALSO INCLUDE: STOP LINES AND RR XING SYMBOLS.
25/03/16 22:48,"BILOXI, MISSISSIPPI",OAK ST,CSX Transportation,Q612-25 STRUCK AN UNOCCUPIED VEHICLE AT CROSSING. MOTORISTS AGE UNKNOWN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES).
25/03/16 16:11,"HARTSELLE, ALABAMA",TABERNACLE ROAD,CSX Transportation,"WHILE TRAVELING EAST ON TABERNACLE ROAD, A MOTORIST FOULED THE MAINLINE AND WAS STRUCK BY THE NORTHBOUND Q28824 AT THE ROAD CROSSING. DRIVERS NAME, AGE AND GENDER ARE UNKNOWN."
25/03/16 14:50,"NEWNAN, GEORGIA",WALT SANDERS RD,CSX Transportation,Q61924 STRUCK A BOX TRUCK AT CROSSING.
25/03/16 14:11,"ATHENS, ALABAMA",LEE ST,CSX Transportation,A MOTORIST WAS TRAVELING EAST ON SOUTH ST. WHEN HIS VEHICLE STALLED ON THE TRACKS AND WAS STRUCK BYTHE NORTHBOUND Q10223. THE OCCUPANT EXITED THE VEHICLE PRIOR TO IMPACT.
25/03/16 10:55,"N/A, GEORGIA",CR-6/REDWINE COVE RD,Norfolk Southern Corporation,NS TRAIN 51AG121 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE UNKNOWN.
25/03/16 10:05,"LEESVILLE, LOUISIANA",HAWTHORNE ROAD,Kansas City Southern Railway Company,THE TRAIN STRUCK A SUV THAT DROVE AROUND THE GATE ARMS. THIS WAS A FATALITY ACCIDENT. THE DRIVER WAS MORE THAN 80 YEARS OF AGE.
25/03/16 9:56,NORTH CAROLINA,SLATESTONE RD,"Carolina Coastal Railway, Incorporated",HIGHWAY USER LATE FOR WORK WAS SPEEDING AND HIT TRAIN.
25/03/16 8:29,"GOODWINE, ILLINOIS",PRIVATE CROSSING,Union Pacific Railroad Company,TRACTOR TRAILER DID NOT STOP PRIOR TO ENTERING THE CROSSING.
25/03/16 7:52,"SANTA CLARITA, CALIFORNIA",RUETHER ROAD,Southern California Regional Rail Authority,TRAIN 208 FATALLY STRUCK A MALE PEDESTRIAN AT RUETHER ROAD. AGE UNKNOWN AT THIS TIME.
25/03/16 6:24,"BELLEVILLE, ILLINOIS",PRIVATE,Norfolk Southern Corporation,"NS TRAIN 168D822 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. THIS IS A PRIVATE GRADE CROSSING, THEREARE NO WARNING DEVICES INSTALLED."
24/03/16 22:10,"N/A, TENNESSEE",BOY SCOUT ROAD,Norfolk Southern Corporation,NS TRAIN 196T624 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
24/03/16 19:25,CALIFORNIA,PRIVATE CROSSING,Amtrak (National Railroad Passenger Corporation),"TRAIN 14 STRUCK AN OCCUPIED FARM TRACTOR AND TRAILER AT MP 175.4 A PRIVATE FARM CROSSING. AMTRAKS EQUIPMENT DAMAGE IS $26,238.00. THE AGE OF THE DRIVER WAS NOT AVAILABLE."
24/03/16 17:45,"GERMANTOWN, WISCONSIN",FREISTADT RD,Wisconsin Central Ltd. (also Railway),DRIVER ATTEMPTED TO BEAT THE TRAIN AT THE FREISTADT RD. CROSSING AND WAS STRUCK IN THE REAR. ALL WARNING DEVICES WERE ACTIVATED AND WORKING AS INTENDED. NO INJURIES WERE REPORTED.
24/03/16 15:12,MICHIGAN,SOUTH GOULD CITY,Wisconsin Central Ltd. (also Railway),DRIVER FAILED TO STOP FOR ACTIVATED WARNING DEVICES AT THE SOUTH GOULD CITY CROSSING AND HIT THE TRAIN THAT WAS OCCUPYING THE CROSSING. NO INJURIES WERE REPORTED.
24/03/16 12:23,"CALLAWAY, MINNESOTA",280TH STREET,Canadian Pacific Railway Company,"691-315 TIMETABLE WEST (COMPASS NORTH) MADE CONTACTWITH A SEMI TRANSPORTING FULL LOAD OF LPG (LIQUIFIED PETROLEUM GAS - APPROXIMATELY 10,500 GALLONS) AT CALLAWAY MINNESOTA, RESULTING IN FIRE INVOLVING THE LPG AND NECESSITATED EVACUATION OF 231 RESIDENTS. CONTACT WAS MADE WITH THE SEMI TRAILER/TANK.THE SEMI TRACTOR WAS NOT HIT. TRAIN CREW MEMBERS WERE TRANSPORTED FOR MEDICAL. SEMI DRIVER REFUSED MEDICAL. SPEED OF TRAIN AT TIME OF IMPACT RECORDED AT 39.9 MPH."
24/03/16 6:35,NEW YORK,NORTH MAIN ST,Amtrak (National Railroad Passenger Corporation),TRAIN 280 OPERATING WITH LOCOMOTIVE E/701 AND 5 CARS STRUCK AN OCCUPIED VEHICLE AT MP 315.37 NORTH MAIN ST CROSSING.
24/03/16 6:00,"SUGAR LAND, TEXAS",DAIRY ASHFORD,Kansas City Southern Railway Company,"THE TRAIN STRUCK A VEHICLE AT THE DAIRY ASHFORD CROSSING, MP 22.52 ON THE GLIDDEN SUBDIVISION. THEDRIVER HAD EXITED THE VEHICLE WHEN IT STALLED."
24/03/16 4:04,"BELGIUM, WISCONSIN",CTH KW,Union Pacific Railroad Company,DRIVER OF THE PICKUP TRUCK LOST CONTROL ON THE ICE AS HE WAS APPROACHING THE CROSSING. OCCUPANT WAS ABLE TO EXIT THE VEHICLE PRIOR TO THE TRAIN COLLIDING WITH THE VEHICLE.
24/03/16 2:15,"STATESVILLE, NORTH CAROLINA",OPAL ST,Norfolk Southern Corporation,NS TRAIN P62P823 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S INFORMATION UNKNOWN.
23/03/16 11:02,TEXAS,ING RAND PLANT,BNSF Railway Company,
23/03/16 10:25,"GREENLEAF, IDAHO",TUCKER ROAD,"Boise Valley Railroad, Inc.","TRAIN WAS PULLING WEST WITH THE LOCOMOTIVE LONG NOSE ON MAINLINE APPROACHING TUCKER RD CROSSING. ASMALL PICK-UP TRUCK TRAVELING NORTHBOUND WAS APPROACHING CROSSING AND DIDN'T SEEM TO NOTICE TRAIN.ENGINEER WAS BLOWING HORN, THE TRUCK WENT THROUGH CROSSING AND THE TRAIN HIT THE TRUCK'S TAILGATE, WHICH WAS DOWN. THERE WERE 3 PEOPLE IN THIS TRUCK AND THEY SAY THEY DIDN'T EVEN SEE OR HEAR THE TRAIN."
23/03/16 7:40,"GRAND PRAIRIE, TEXAS",SH 161 NORTH ACCESS,Union Pacific Railroad Company,WHITE FORD FUSION WAS TRAPPED ON THE CROSSING BY TRAFFIC PRIOR TO THE GATES DESCENDING.
23/03/16 7:05,"HURLEY, MISSISSIPPI",HWY 614,Mississippi Export Railroad Company,"VEHICLE WAS EASTBOUND ON HWY 614. VEHICLE COLLIDED WITH REGULATOR. AFTER IMPACT, VEHICLE WENT OFFROAD AND INTO DITCH."
